Name,Typ,Adresse,Stadtteil,lat,lon,Quelle
"Caffè Kamee","cafe","Rudower Chaussee 25, 12489 Berlin, Deutschland","Adlershof",52.4296874,13.530639,OSM
"Oase Adlershof","restaurant","Berliner Stadtwerke, Rudower Chaussee 25, 12489 Berlin, Deutschland","Adlershof",52.4293751,13.5301027,OSM
"Kaufland","supermarket","Groß-Berliner Damm, 12489 Berlin, Deutschland","Adlershof",52.432822,13.5351004,OSM
"Gerdan's Café","cafe","Forum, 12489 Berlin, Deutschland","Adlershof",52.4310052,13.5319872,OSM
"Green Curve","restaurant","Volmerstraße 9A, 12489 Berlin, Deutschland","Adlershof",52.4296331,13.5374711,OSM
"Bagel Company","fast_food","Rudower Chaussee 11, 12489 Berlin, Deutschland","Adlershof",52.432331,13.5358496,OSM
"Subway","fast_food","Rudower Chaussee, 12489 Berlin, Deutschland","Adlershof",52.4326337,13.535167,OSM
"Easy Apotheke","pharmacy","Rudower Chaussee, 12489 Berlin, Deutschland","Adlershof",52.4332816,13.5362695,OSM
"Aesculap Apotheke","pharmacy","Albert-Einstein-Straße 2, 12489 Berlin, Deutschland","Adlershof",52.4317485,13.5373807,OSM
"Presse Tabak","newsagent","Rudower Chaussee 12A, 12489 Berlin, Deutschland","Adlershof",52.4330365,13.5357682,OSM
"Commerzbank","bank","Rudower Chaussee 13, 12489 Berlin, Deutschland","Adlershof",52.4322593,13.5357184,OSM
"extraSuppe","fast_food","Albert-Einstein-Straße 2, 12489 Berlin, Deutschland","Adlershof",52.4315358,13.5377539,OSM
"Takko Fashion","clothes","Am Studio, 12489 Berlin, Deutschland","Adlershof",52.4331344,13.536068,OSM
"K+K Schuh-Center","shoes","Rudower Chaussee, 12489 Berlin, Deutschland","Adlershof",52.4332075,13.5361796,OSM
"Zweigbibliothek Naturwissenschaften","library","Forum, 12489 Berlin, Deutschland","Adlershof",52.4310682,13.5314264,OSM
"Studio Berlin Adlershof","studio","Ernst-Augustin-Straße 11, 12489 Berlin, Deutschland","Adlershof",52.4308589,13.5425447,OSM
"Getränke Hoffmann","beverages","Semmelweisstraße 104, 12524 Berlin, Deutschland","Altglienicke",52.4252083,13.5278363,OSM
"Casablanca","cinema","Friedenstraße 14, 12489 Berlin, Deutschland","Adlershof",52.435842,13.547897,OSM
"Wista Adlershof","taxi","Adlergestell, 12489 Berlin, Deutschland","Adlershof",52.4345714,13.542602,OSM
"Studentisches Begegnungszentrum Motorenprüfstand","cafe","Newtonstraße 16, 12489 Berlin, Deutschland","Adlershof",52.4322931,13.5296167,OSM
"Doon","restaurant","Weerthstraße 10, 12489 Berlin, Deutschland","Adlershof",52.4347523,13.5443123,OSM
"cookpit","restaurant","Rudower Chaussee 14, 12489 Berlin, Deutschland","Adlershof",52.432301,13.5347369,OSM
"Boggi's Gemüse Kebap","fast_food","Süßer Grund, 12489 Berlin, Deutschland","Adlershof",52.4375002,13.5473059,OSM
"Marktimbiss","fast_food","Dörpfeldstraße 44, 12489 Berlin, Deutschland","Adlershof",52.4379273,13.5478837,OSM
"Eiscafé Venezia","cafe","Genossenschaftsstraße 66, 12489 Berlin, Deutschland","Adlershof",52.4380015,13.546032,OSM
"Elefanten-Apotheke","pharmacy","Marktplatz Adlershof, Marktplatz, 12489 Berlin, Deutschland","Adlershof",52.4382284,13.5480046,OSM
"Global Bar 21","pub","Arndtstraße 2, 12489 Berlin, Deutschland","Adlershof",52.4382195,13.5492434,OSM
"Döner Café bei Ecki","pub","Radickestraße 52, 12489 Berlin, Deutschland","Adlershof",52.4353895,13.5472819,OSM
"Maharadscha-India","restaurant","Radickestraße 46, 12489 Berlin, Deutschland","Adlershof",52.4357987,13.5483194,OSM
"Athen","restaurant","Radickestraße 57, 12489 Berlin, Deutschland","Adlershof",52.4348636,13.546805,OSM
"Jalapenos","restaurant","Weerthstraße 2, 12489 Berlin, Deutschland","Adlershof",52.4342899,13.5431272,OSM
"Adler Burger","bakery","Abtstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4350976,13.5423178,OSM
"Il Mondo","restaurant","Weerthstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4346257,13.5432335,OSM
"Adler Apotheke","pharmacy","Dörpfeldstraße 10, 12489 Berlin, Deutschland","Adlershof",52.4360165,13.543222,OSM
"Restaurant Blattlaus","restaurant","Adlergestell 181, 12489 Berlin, Deutschland","Adlershof",52.4416096,13.535473,OSM
"Bäckerei Wahl","bakery","Rudower Chaussee 12A, 12489 Berlin, Deutschland","Adlershof",52.4331186,13.5355616,Beide
"Fleischimbiss Gut Hesterberg","fast_food","Rudower Chaussee 12A, 12489 Berlin, Deutschland","Adlershof",52.4330937,13.5356472,OSM
"Döner","fast_food","Rudower Chaussee 12A, 12489 Berlin, Deutschland","Adlershof",52.4332087,13.5354084,OSM
"Dhentica","dentist","Rudower Chaussee 12, 12489 Berlin, Deutschland","Adlershof",52.4327892,13.5355561,OSM
"Locked","bicycle_parking","Max-Born-Straße 4, 12489 Berlin, Deutschland","Adlershof",52.4311083,13.5265225,OSM
"Contactlinsen & Brillen","optician","Rudower Chaussee 12, 12489 Berlin, Deutschland","Adlershof",52.4328557,13.5356105,OSM
"Sparkasse","bank","Dörpfeldstraße 42, 12489 Berlin, Deutschland","Adlershof",52.4375561,13.5468079,OSM
"CSV Kopierladen","copyshop","Rudower Chaussee 25, 12489 Berlin, Deutschland","Adlershof",52.4297258,13.5308336,OSM
"Speisemanufaktur Bistro","restaurant","Albert-Einstein-Straße 4, 12489 Berlin, Deutschland","Adlershof",52.4314909,13.5369347,OSM
"Rudower Chaussee","taxi","Rudower Chaussee 18, 12489 Berlin, Deutschland","Adlershof",52.431744,13.5341209,OSM
"Ristorante I Due Amici","restaurant","Rudower Chaussee 20, 12489 Berlin, Deutschland","Adlershof",52.4315804,13.5333991,OSM
"DASI Kindertagesstätte Knirpsenland","kindergarten","Radickestraße 25, 12489 Berlin, Deutschland","Adlershof",52.4364928,13.5513117,OSM
"Adlershofer Fahrradwelt","bicycle","Dörpfeldstraße 73, 12489 Berlin, Deutschland","Adlershof",52.4398321,13.5537091,OSM
"ServiceStore DB","kiosk","S-Bahn-Adlershof, Adlergestell, 12489 Berlin, Deutschland","Adlershof",52.4349246,13.5412763,OSM
"Ibo's Keb'up","fast_food","Ibo's Kebup, Rudower Chaussee, 12489 Berlin, Deutschland","Adlershof",52.435147,13.5410568,OSM
"Maria Rot","brothel","Hoffmannstraße 17, 12489 Berlin, Deutschland","Adlershof",52.4417781,13.5502295,OSM
"m2rent","car_rental","Groß-Berliner Damm 153, 12489 Berlin, Deutschland","Adlershof",52.4349445,13.5326155,OSM
"FIGARO","vacant","Dörpfeldstraße 10, 12489 Berlin, Deutschland","Adlershof",52.436166,13.5429595,OSM
"Grieneisen Bestattungen","funeral_directors","Dörpfeldstraße 6, 12489 Berlin, Deutschland","Adlershof",52.4359245,13.542394,OSM
"Renate Reimer & Verena Rinas","dentist","Dörpfeldstraße 6, 12489 Berlin, Deutschland","Adlershof",52.435897,13.5423381,OSM
"DER Reisetouristik","travel_agency","Dörpfeldstraße 6, 12489 Berlin, Deutschland","Adlershof",52.4358805,13.5422457,OSM
"Moni's Postshop","post_office","Dörpfeldstraße 11, 12489 Berlin, Deutschland","Adlershof",52.4364707,13.5444834,OSM
"Fleischerei Backs","butcher","Dörpfeldstraße 13, 12489 Berlin, Deutschland","Adlershof",52.4365631,13.5447621,OSM
"Asia Imbiss","fast_food","Dörpfeldstraße 50, 12489 Berlin, Deutschland","Adlershof",52.4384869,13.5490317,OSM
"Asia Imbiss","fast_food","Merlitzstraße, 12489 Berlin, Deutschland","Adlershof",52.4335139,13.5347201,OSM
"Trattoria Mia Toscana","restaurant","Arndtstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4383812,13.5497315,OSM
"Die FotoGrafen","photo","Dörpfeldstraße 22, 12489 Berlin, Deutschland","Adlershof",52.4367294,13.5445869,OSM
"Boutique CHARLOTTe","clothes","Dörpfeldstraße 15, 12489 Berlin, Deutschland","Adlershof",52.4366155,13.5448457,OSM
"Wellness-Massagen Banna","massage","Thomas-Müntzer-Straße 2, 12489 Berlin, Deutschland","Adlershof",52.4365424,13.5450643,Beide
"Hidde&Mietke Augenoptik","optician","Dörpfeldstraße 23, 12489 Berlin, Deutschland","Adlershof",52.4370131,13.5459013,OSM
"Rund um die Blume","florist","Dörpfeldstraße 16, 12489 Berlin, Deutschland","Adlershof",52.4364458,13.5437309,OSM
"Dr. med. Katrin Sattelkau","doctors","Thomas-Müntzer-Straße 19, 12489 Berlin, Deutschland","Adlershof",52.435696,13.5464933,OSM
"Druckerei Schmidt-Bugiel","copyshop","Büchnerweg 44, 12489 Berlin, Deutschland","Adlershof",52.4351082,13.5527756,OSM
"APHAIA-Verlag","books","Radickestraße 44, 12489 Berlin, Deutschland","Adlershof",52.4358367,13.5484613,OSM
"ARZ","doctors","Albert-Einstein-Straße 4, 12489 Berlin, Deutschland","Adlershof",52.4313863,13.5366657,OSM
"Friseure Manuela Bennek-Dubiel","hairdresser","Arndtstraße 4, 12489 Berlin, Deutschland","Adlershof",52.4381115,13.5495168,OSM
"ksfh-Tuning","tyres","James-Franck-Straße 44, 12489 Berlin, Deutschland","Adlershof",52.4289391,13.5215833,OSM
"öffentliche Toilette","toilets","Dörpfeldstraße 44, 12489 Berlin, Deutschland","Adlershof",52.4379566,13.5479454,OSM
"Marktbrunnen","fountain","Marktplatz, 12489 Berlin, Deutschland","Adlershof",52.4379525,13.5474448,OSM
"Handy & Laptop Technik","electronics","Dörpfeldstraße 21, 12489 Berlin, Deutschland","Adlershof",52.4369061,13.5455482,OSM
"Tierarzt Scheibner","veterinary","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.4380728,13.5481783,OSM
"p two Restaurant & Cocktailbar","pub","Dörpfeldstraße 58, 12489 Berlin, Deutschland","Adlershof",52.4388659,13.5503857,OSM
"aqua b - WASSER & MEHR","water_filter","Thomas-Müntzer-Straße 6, 12489 Berlin, Deutschland","Adlershof",52.4364028,13.5452329,OSM
"Beauty Moments Nails","beauty","Genossenschaftsstraße 70, 12489 Berlin, Deutschland","Adlershof",52.4378013,13.5468506,OSM
"Salon Heike","hairdresser","Dörpfeldstraße 32, 12489 Berlin, Deutschland","Adlershof",52.4371599,13.5457545,OSM
"Babo Sushi","restaurant","Dörpfeldstraße 42A, 12489 Berlin, Deutschland","Adlershof",52.4375801,13.5469076,OSM
"Blumen Laden","florist","Dörpfeldstraße 50, 12489 Berlin, Deutschland","Adlershof",52.4383885,13.5491447,OSM
"Bäckerei Wahl","bakery","Dörpfeldstraße 30, 12489 Berlin, Deutschland","Adlershof",52.4370743,13.5454052,OSM
"Sibir","convenience","Dörpfeldstraße 62, 12489 Berlin, Deutschland","Adlershof",52.439069,13.5509485,OSM
"C&M Kuchenschnecke","bakery","Dörpfeldstraße 82, 12489 Berlin, Deutschland","Adlershof",52.4401135,13.5538435,OSM
"BGS 2000 Beckers Geräte Service e. K.","electrical","Dörpfeldstraße 67, 12489 Berlin, Deutschland","Adlershof",52.4396619,13.5525756,OSM
"Sounds & Vision Line","hifi","Dörpfeldstraße 38, 12489 Berlin, Deutschland","Adlershof",52.4373851,13.5463377,OSM
"Orient Cut","hairdresser","Genossenschaftsstraße 70, 12489 Berlin, Deutschland","Adlershof",52.4377473,13.5469123,OSM
"Lindenblatt + Gottzmann","wholesale","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4289045,13.5203967,OSM
"Zok Regattahandel","hardware","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4298452,13.5205736,OSM
"Wäscherei Dörschel","laundry","James-Franck-Straße, 12489 Berlin, Deutschland","Adlershof",52.4295478,13.5203061,OSM
"Patatorito Bowls","cafe","Dörpfeldstraße 24, 12489 Berlin, Deutschland","Adlershof",52.4367793,13.5447188,OSM
"Kamin Berlin Brandenburg","fireplace","Dörpfeldstraße 13, 12489 Berlin, Deutschland","Adlershof",52.4365251,13.5446462,OSM
"Mia Pizzaria","restaurant","Dörpfeldstraße 29, 12489 Berlin, Deutschland","Adlershof",52.4373718,13.5468957,OSM
"Kundenparkplatz Capitol","parking","Dörpfeldstraße 29, 12489 Berlin, Deutschland","Adlershof",52.4373542,13.5471043,OSM
"Getränke Hoffmann","beverages","Stienitzseestraße 2, 12489 Berlin, Deutschland","Adlershof",52.4417387,13.5527613,OSM
"Digital Service Center GmbH","photo","Am Studio 2, 12489 Berlin, Deutschland","Adlershof",52.4315389,13.5382864,OSM
"brillen.de","optician","Dörpfeldstraße 27, 12489 Berlin, Deutschland","Adlershof",52.4372706,13.5466224,OSM
"Dr. med. dent. Evelin und Agnes Rößner","dentist","Weerthstraße 7, 12489 Berlin, Deutschland","Adlershof",52.4348552,13.5438258,OSM
"ASIA Lebensmittel","convenience","Dörpfeldstraße 45, 12489 Berlin, Deutschland","Adlershof",52.4381824,13.5491157,OSM
"La Locanda","restaurant","Dörpfeldstraße 41, 12489 Berlin, Deutschland","Adlershof",52.4380562,13.548793,OSM
"Blumen und Geschenke","florist","Dörpfeldstraße 43, 12489 Berlin, Deutschland","Adlershof",52.4381143,13.5489454,OSM
"Beauty Nails &Hair","beauty","Dörpfeldstraße 41, 12489 Berlin, Deutschland","Adlershof",52.4380198,13.5487177,OSM
"O2","mobile_phone","Dörpfeldstraße 45, 12489 Berlin, Deutschland","Adlershof",52.4381595,13.5490564,OSM
"Schmuck Kühn Uhren","jewelry","Dörpfeldstraße 39, 12489 Berlin, Deutschland","Adlershof",52.4379841,13.5485649,OSM
"Zahnklinik Ost","dentist","Helbigstraße 1, 12489 Berlin, Deutschland","Adlershof",52.43809,13.5481142,OSM
"Albert-Speisemanufaktur","restaurant","Johann-Hittorf-Straße 8, 12489 Berlin, Deutschland","Adlershof",52.4314537,13.5237891,OSM
"Institut für Psychologie (HU)","university","Rudower Chaussee 18, 12489 Berlin, Deutschland","Adlershof",52.4318038,13.5338379,OSM
"UniCredit Bank","bank","Rudower Chaussee 5B, 12489 Berlin, Deutschland","Adlershof",52.4338086,13.5382031,OSM
"Apotheke an der Alten Schule","pharmacy","Dörpfeldstraße 55, 12489 Berlin, Deutschland","Adlershof",52.4387416,13.5506904,OSM
"SpeedBerlin","car_rental","Weerthstraße 6, 12489 Berlin, Deutschland","Adlershof",52.4345051,13.5437066,OSM
"Büchner","restaurant","Büchnerweg 30, 12489 Berlin, Deutschland","Adlershof",52.4359639,13.5549806,OSM
"HOME KIOSK SHOP","newsagent","Dörpfeldstraße 27, 12489 Berlin, Deutschland","Adlershof",52.4372265,13.5465489,OSM
"Berliner Volksbank","atm","OBI, Adlergestell 303, 12489 Berlin, Deutschland","Adlershof",52.4303592,13.5504931,OSM
"Kleine Elefanten","fountain","Arndtplatz, 12489 Berlin, Deutschland","Adlershof",52.4352335,13.553499,OSM
"Azuma","restaurant","Rudower Chaussee 9, 12489 Berlin, Deutschland","Adlershof",52.433011,13.5368508,OSM
"Tran Asia","restaurant","Anna-Seghers-Straße 109, 12489 Berlin, Deutschland","Adlershof",52.4359393,13.5431749,OSM
"dm","chemist","Dörpfeldstraße 35, 12489 Berlin, Deutschland","Adlershof",52.437657,13.5476812,OSM
"Asia Sushi Bar","fast_food","Rudower Chaussee 12, 12489 Berlin, Deutschland","Adlershof",52.4327558,13.5353669,OSM
"Werner-Sylten-Saal","community_centre","Rudower Straße 23, 12557 Berlin, Deutschland","Köpenick",52.4440035,13.5658705,OSM
"Familienzentrum Rudower Straße","community_centre","Rudower Straße 37, 12557 Berlin, Deutschland","Köpenick",52.443833,13.5645953,OSM
"Mehrgenerationenhaus Köpenick","community_centre","Rudower Straße 37, 12557 Berlin, Deutschland","Köpenick",52.443802,13.5644695,OSM
"MB Rent","car_rental","Daimler Truck AG, Neudecker Weg 6, 12355 Berlin, Deutschland","Rudow",52.4254078,13.5186419,OSM
"Norma","supermarket","Wassermannstraße 98, 12489 Berlin, Deutschland","Adlershof",52.4377511,13.5547611,OSM
"Glasbläserei Horst Müller","glaziery","Volmerstraße 13, 12489 Berlin, Deutschland","Adlershof",52.4285869,13.5396003,OSM
"Sportklause","pub","Lohnauer Steig 9, 12489 Berlin, Deutschland","Adlershof",52.4432824,13.5530785,OSM
"Eiscafe","cafe","Wassermannstraße 97, 12489 Berlin, Deutschland","Adlershof",52.4375884,13.5548778,OSM
"Trattoria Bella Italia","restaurant","Friedenstraße 12, 12489 Berlin, Deutschland","Adlershof",52.4357196,13.5481059,OSM
"Berliner Volksbank","bank","Am Studio 27, 12489 Berlin, Deutschland","Adlershof",52.4328568,13.5367968,OSM
"IL Porto","restaurant","Semmelweisstraße 104A, 12524 Berlin, Deutschland","Altglienicke",52.4256824,13.5276679,OSM
"Dr. med. Brigitte Bachmann","doctors","Anna-Seghers-Straße 118, 12489 Berlin, Deutschland","Adlershof",52.4351925,13.5436805,OSM
"Musikschule Viva la Musica (Zweigstelle)","music_school","Weerthstraße 3, 12489 Berlin, Deutschland","Adlershof",52.4346494,13.5433836,OSM
"Evar Friseur","hairdresser","Adlergestell 261, 12489 Berlin, Deutschland","Adlershof",52.4351981,13.5421164,OSM
"Dr. med. vet. Susann Zimmer","veterinary","Weerthstraße 10, 12489 Berlin, Deutschland","Adlershof",52.4346817,13.544154,OSM
"Maybe Bar","pub","Platz der Befreiung 1, 12489 Berlin, Deutschland","Adlershof",52.4346291,13.5427681,OSM
"Denns BioMarkt","supermarket","Adlergestell 259, 12489 Berlin, Deutschland","Adlershof",52.4353773,13.5419279,OSM
